Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	Sm Nohb*	30-JUL-14 14:55:39	User Waypoint	N31.51442 W108.99749	1668 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Nohb/	30-JUL-14 14:59:44	User Waypoint	N31.51468 W108.99732	1666 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Nohb1	31-JUL-14 10:58:43	User Waypoint	N31.49706 W109.02250	1738 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Nohb11	31-JUL-14 16:33:44	User Waypoint	N31.52380 W108.96434	1631 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Nohb12	01-AUG-14 10:44:59	User Waypoint	N31.48479 W109.02481	1805 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Nohb?	30-JUL-14 14:56:53	User Waypoint	N31.51461 W108.99749	1667 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm Nohyla8	31-JUL-14 10:20:46	User Waypoint	N31.49722 W109.02202	1740 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm0 NOHB	30-JUL-14 14:52:12	User Waypoint	N31.51433 W108.99839	1670 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm1	26-JUL-14 14:55:27	User Waypoint	N31.52618 W108.97223	1660 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm2	26-JUL-14 14:56:06	User Waypoint	N31.52629 W108.97211	1657 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm4	26-JUL-14 15:27:28	User Waypoint	N31.52521 W108.96878	1642 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm5	27-JUL-14 14:48:31	User Waypoint	N31.55262 W108.98303	1658 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm7	30-JUL-14 9:58:07	User Waypoint	N31.50416 W109.01563	1695 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm8	30-JUL-14 10:09:03	User Waypoint	N31.50632 W109.01340	1691 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Sm9	30-JUL-14 12:17:39	User Waypoint	N31.50811 W109.00917	1683 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Snag 5M2 HYLA	30-JUL-14 13:32:12	User Waypoint	N31.50859 W109.00715	1686 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Snk 5' Grnelow	27-JUL-14 14:08:19	User Waypoint	N31.55396 W108.98315	1654 m				Symbol & Name	Black	Flag, Blue							
Waypoint	St Smith	07-AUG-14 9:25:31	User Waypoint	N31.56720 W108.98131	1557 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Start 1M2 CONT	03-AUG-14 16:14:51	User Waypoint	N31.39472 W110.38838	1692 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Start Cont	01-AUG-14 11:00:37	User Waypoint	N31.48359 W109.02408	1791 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Start Nohb	31-JUL-14 15:36:21	User Waypoint	N31.52425 W108.96710	1639 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Stop	27-JUL-14 14:25:22	User Waypoint	N31.55227 W108.98591	1658 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Stop Az	03-AUG-14 18:19:25	User Waypoint	N31.37716 W110.39159	1648 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Stop Cont Nohb	01-AUG-14 11:14:52	User Waypoint	N31.48271 W109.01970	1747 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Stop Nohb 1Mw	31-JUL-14 15:37:12	User Waypoint	N31.52422 W108.96693	1640 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Stop Noodle	31-JUL-14 16:48:39	User Waypoint	N31.52224 W108.96326	1626 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Stop tadSMTHED	03-AUG-14 17:43:33	User Waypoint	N31.38744 W110.39090	1666 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Stoq 1M2	01-AUG-14 10:53:21	User Waypoint	N31.48354 W109.02410	1798 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Stp	07-AUG-14 9:38:59	User Waypoint	N31.56622 W108.98305	1562 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Survey Mk	06-AUG-14 11:57:09	User Waypoint	N31.57280 W108.98991	1550 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T 14.4	01-AUG-14 12:23:08	User Waypoint	N31.48333 W109.02326	1788 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T10,1 10,2	06-AUG-14 14:53:57	User Waypoint	N31.58788 W109.02852	1491 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T1037	01-AUG-14 11:26:26	User Waypoint	N31.48347 W109.02330	1792 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T1079	01-AUG-14 12:28:32	User Waypoint	N31.48325 W109.02312	1786 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T127	01-AUG-14 12:14:44	User Waypoint	N31.48331 W109.02312	1787 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T203 AZ	03-AUG-14 16:51:56	User Waypoint	N31.39286 W110.38826	1688 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T3319	06-AUG-14 11:30:18	User Waypoint	N31.56967 W108.98540	1549 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T3320	06-AUG-14 12:41:34	User Waypoint	N31.57990 W109.00281	1530 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T3396	07-AUG-14 9:27:10	User Waypoint	N31.56709 W108.98164	1558 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T3397 WRMCONPL	06-AUG-14 14:56:32	User Waypoint	N31.58778 W109.02852	1493 m				Symbol & Name	Black	Flag, Blue							
Waypoint	T3398	06-AUG-14 14:30:20	User Waypoint	N31.58827 W109.02833	1497 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Tadpoles	07-AUG-14 9:33:38	User Waypoint	N31.56629 W108.98291	1558 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Tfr 3215	27-JUL-14 13:59:27	User Waypoint	N31.55252 W108.98311	1656 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Tfr 3256	27-JUL-14 13:49:56	User Waypoint	N31.55250 W108.98310	1657 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Weather Stat 2	07-AUG-14 13:29:27	User Waypoint	N31.54535 W108.99553	1711 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Weather Statio	06-AUG-14 10:00:10	User Waypoint	N31.54780 W108.98316	1679 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Whipsnk	06-AUG-14 11:06:01	User Waypoint	N31.56714 W108.98176	1562 m				Symbol & Name	Black	Flag, Blue							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	10-AUG-13		0:00:00	64 m	0 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N31.51913 W109.00789		1681 m
Trackpoint	N31.51913 W109.00789		1681 m			0 m			0° true
Trackpoint	N31.51915 W109.00782		1681 m			7 m			70° true
Trackpoint	N31.51913 W109.00786		1681 m			4 m			239° true
Trackpoint	N31.51910 W109.00788		1682 m			4 m			208° true
Trackpoint	N31.51907 W109.00785		1682 m			4 m			150° true
Trackpoint	N31.51905 W109.00789		1682 m			4 m			238° true
Trackpoint	N31.51905 W109.00786		1682 m			3 m			96° true
Trackpoint	N31.51907 W109.00782		1681 m			4 m			57° true
Trackpoint	N31.51908 W109.00783		1680 m			1 m			313° true
Trackpoint	N31.51908 W109.00784		1680 m			1 m			291° true
Trackpoint	N31.51909 W109.00782		1681 m			2 m			66° true
Trackpoint	N31.51909 W109.00779		1681 m			4 m			81° true
Trackpoint	N31.51911 W109.00777		1681 m			3 m			33° true
Trackpoint	N31.51913 W109.00775		1681 m			3 m			56° true
Trackpoint	N31.51917 W109.00773		1682 m			5 m			22° true
Trackpoint	N31.51918 W109.00777		1682 m			4 m			292° true
Trackpoint	N31.51918 W109.00780		1683 m			3 m			253° true
Trackpoint	N31.51917 W109.00783		1683 m			4 m			259° true
Trackpoint	N31.51915 W109.00786		1683 m			3 m			231° true
Trackpoint	N31.51914 W109.00786		1683 m			2 m			196° true

Track	ACTIVE LOG 001	11/27/2013 10:22:07 AM 	0:00:00	0 m	0 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N31.48532 W108.94757	11/27/2013 10:22:07 AM 	1640 m

Track	ACTIVE LOG 002	11/27/2013 10:22:08 AM 	0:37:11	1.4 km	2 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N31.48532 W108.94757	11/27/2013 10:22:08 AM 	1640 m
Trackpoint	N31.48532 W108.94757	11/27/2013 10:22:12 AM 	1640 m			0 m	0:00:04	0.0 kph	220° true
Trackpoint	N31.48532 W108.94757	11/27/2013 10:22:27 AM 	1642 m			0 m	0:00:15	0.0 kph	168° true
Trackpoint	N31.48528 W108.94758	11/27/2013 10:22:34 AM 	1641 m			5 m	0:00:07	3 kph	190° true
Trackpoint	N31.48513 W108.94764	11/27/2013 10:22:48 AM 	1642 m			17 m	0:00:14	4 kph	199° true
Trackpoint	N31.48499 W108.94770	11/27/2013 10:23:02 AM 	1640 m			16 m	0:00:14	4 kph	201° true
Trackpoint	N31.48498 W108.94771	11/27/2013 10:23:11 AM 	1641 m			2 m	0:00:09	0.7 kph	235° true
Trackpoint	N31.48487 W108.94775	11/27/2013 10:23:21 AM 	1641 m			13 m	0:00:10	5 kph	197° true
Trackpoint	N31.48480 W108.94778	11/27/2013 10:23:27 AM 	1640 m			8 m	0:00:06	5 kph	197° true
Trackpoint	N31.48476 W108.94780	11/27/2013 10:23:34 AM 	1639 m			5 m	0:00:07	3 kph	204° true
Trackpoint	N31.48476 W108.94781	11/27/2013 10:23:44 AM 	1640 m			1 m	0:00:10	0.4 kph	236° true
Trackpoint	N31.48469 W108.94783	11/27/2013 10:23:53 AM 	1640 m			8 m	0:00:09	3 kph	199° true
Trackpoint	N31.48463 W108.94785	11/27/2013 10:24:01 AM 	1638 m			7 m	0:00:08	3 kph	194° true
Trackpoint	N31.48459 W108.94786	11/27/2013 10:24:08 AM 	1639 m			4 m	0:00:07	2 kph	188° true
Trackpoint	N31.48457 W108.94787	11/27/2013 10:24:12 AM 	1639 m			3 m	0:00:04	3 kph	202° true
Trackpoint	N31.48447 W108.94791	11/27/2013 10:24:21 AM 	1639 m			11 m	0:00:09	5 kph	201° true
Trackpoint	N31.48434 W108.94797	11/27/2013 10:24:32 AM 	1640 m			16 m	0:00:11	5 kph	202° true
